zip,state,county,city1,city1,city2,city3,city4,city5,city6,city7,city8,city9,city10,city11,city12,city13,city14,city15,city16,city17,city18,city19,city20,city21,city22,city23,city24,city25,city26,city27,city28,city29,city30,city31
544,NY,Suffolk County,Holtsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,PR,Adjuntas,Adjuntas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,PR,,Aguada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,PR,Aguadilla,Aguadilla,Ramey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,PR,,Aguadilla,Ramey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,PR,,Aguadilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,PR,Maricao,Maricao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,PR,,Anasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,PR,,Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,PR,Arecibo,Arecibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,PR,,Arecibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,PR,,Arecibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,PR,Arecibo,Bajadero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,PR,Barceloneta,Barceloneta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,PR,,Boqueron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,PR,,Cabo Rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,PR,,Penuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,PR,,Camuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,PR,,Castaner,Adjuntas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,PR,,Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,PR,,Sabana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,PR,,Ciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,PR,,Utuado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,PR,,Dorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,PR,,Ensenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
